,Costa Rica,US,Italy,Spain,Germany,China,Brazil,"Korea, South",France,Uruguay
1/22/20,0,0,0,0,0,17,0,0,0,0
1/23/20,0,0,0,0,0,18,0,0,0,0
1/24/20,0,0,0,0,0,26,0,0,0,0
1/25/20,0,0,0,0,0,42,0,0,0,0
1/26/20,0,0,0,0,0,56,0,0,0,0
1/27/20,0,0,0,0,0,82,0,0,0,0
1/28/20,0,0,0,0,0,131,0,0,0,0
1/29/20,0,0,0,0,0,133,0,0,0,0
1/30/20,0,0,0,0,0,171,0,0,0,0
1/31/20,0,0,0,0,0,213,0,0,0,0
2/1/20,0,0,0,0,0,259,0,0,0,0
2/2/20,0,0,0,0,0,361,0,0,0,0
2/3/20,0,0,0,0,0,425,0,0,0,0
2/4/20,0,0,0,0,0,491,0,0,0,0
2/5/20,0,0,0,0,0,563,0,0,0,0
2/6/20,0,0,0,0,0,633,0,0,0,0
2/7/20,0,0,0,0,0,718,0,0,0,0
2/8/20,0,0,0,0,0,805,0,0,0,0
2/9/20,0,0,0,0,0,905,0,0,0,0
2/10/20,0,0,0,0,0,1012,0,0,0,0
2/11/20,0,0,0,0,0,1112,0,0,0,0
2/12/20,0,0,0,0,0,1117,0,0,0,0
2/13/20,0,0,0,0,0,1369,0,0,0,0
2/14/20,0,0,0,0,0,1521,0,0,0,0
2/15/20,0,0,0,0,0,1663,0,0,1,0
2/16/20,0,0,0,0,0,1766,0,0,1,0
2/17/20,0,0,0,0,0,1864,0,0,1,0
2/18/20,0,0,0,0,0,2003,0,0,1,0
2/19/20,0,0,0,0,0,2116,0,0,1,0
2/20/20,0,0,0,0,0,2238,0,1,1,0
2/21/20,0,0,1,0,0,2238,0,2,1,0
2/22/20,0,0,2,0,0,2443,0,2,1,0
2/23/20,0,0,3,0,0,2445,0,6,1,0
2/24/20,0,0,7,0,0,2595,0,8,1,0
2/25/20,0,0,10,0,0,2665,0,10,1,0
2/26/20,0,0,12,0,0,2717,0,12,2,0
2/27/20,0,0,17,0,0,2746,0,13,2,0
2/28/20,0,0,21,0,0,2790,0,13,2,0
2/29/20,0,1,29,0,0,2837,0,16,2,0
3/1/20,0,1,34,0,0,2872,0,17,2,0
3/2/20,0,6,52,0,0,2914,0,28,3,0
3/3/20,0,7,79,1,0,2947,0,28,4,0
3/4/20,0,11,107,2,0,2983,0,35,4,0
3/5/20,0,12,148,3,0,3015,0,35,6,0
3/6/20,0,14,197,5,0,3044,0,42,9,0
3/7/20,0,17,233,10,0,3072,0,44,11,0
3/8/20,0,21,366,17,0,3100,0,50,19,0
3/9/20,0,22,463,28,2,3123,0,53,19,0
3/10/20,0,28,631,35,2,3139,0,54,33,0
3/11/20,0,36,827,54,3,3161,0,60,48,0
3/12/20,0,41,827,55,3,3172,0,66,48,0
3/13/20,0,49,1266,133,7,3180,0,66,79,0
3/14/20,0,58,1441,195,9,3193,0,72,91,0
3/15/20,0,73,1809,289,11,3203,0,75,91,0
3/16/20,0,99,2158,342,17,3217,0,75,149,0
3/17/20,0,133,2503,533,24,3230,1,81,149,0
3/18/20,0,164,2978,623,28,3241,3,84,149,0
3/19/20,1,258,3405,830,44,3249,6,91,244,0
3/20/20,1,349,4032,1043,67,3253,11,94,451,0
3/21/20,2,442,4825,1375,84,3259,15,102,563,0
3/22/20,2,586,5476,1772,94,3274,25,111,676,0
3/23/20,2,786,6077,2311,123,3274,34,111,862,0
3/24/20,2,1008,6820,2808,157,3281,46,120,1102,0
3/25/20,2,1316,7503,3647,206,3285,59,126,1333,0
3/26/20,2,1726,8215,4365,267,3291,77,131,1698,0
3/27/20,2,2265,9134,5138,342,3296,92,139,1997,0
3/28/20,2,2731,10023,5982,433,3299,111,144,2317,0
3/29/20,2,3420,10779,6803,533,3304,136,152,2611,1
3/30/20,2,4192,11591,7716,645,3308,159,158,3030,1
3/31/20,2,5367,12428,8464,775,3309,201,162,3532,1
4/1/20,2,6501,13155,9387,920,3316,240,165,4414,2
4/2/20,2,7921,13915,10348,1107,3322,324,169,5398,4
4/3/20,2,9246,14681,11198,1275,3326,359,174,6520,4
4/4/20,2,10855,15362,11947,1444,3330,445,177,7574,5
4/5/20,2,12375,15887,12641,1584,3333,486,183,8093,5
4/6/20,2,13894,16523,13341,1810,3335,564,186,8926,6
4/7/20,2,16191,17127,14045,2016,3335,686,192,10343,7
4/8/20,3,18270,17669,14792,2349,3337,819,200,10887,7
4/9/20,3,20255,18279,15447,2607,3339,950,204,12228,7
4/10/20,3,22333,18849,16081,2767,3340,1057,208,13215,7
4/11/20,3,24342,19468,16606,2736,3343,1124,211,13851,7
4/12/20,3,26086,19899,17209,3022,3343,1223,214,14412,7
4/13/20,3,27870,20465,17756,3194,3345,1328,217,14986,8
4/14/20,3,30262,21067,18056,3294,3345,1532,222,15731,8
4/15/20,4,32734,21645,18708,3804,3346,1736,225,17169,8
4/16/20,4,34827,22170,19315,4052,3346,1924,229,17922,9
4/17/20,4,37411,22745,20002,4352,4636,2141,230,18683,9
4/18/20,4,39753,23227,20043,4459,4636,2354,232,19325,9
4/19/20,5,40945,23660,20453,4586,4636,2462,234,19720,10
4/20/20,6,42659,24114,20852,4862,4636,2587,236,20267,10
4/21/20,6,45086,24648,21282,5033,4636,2741,237,20798,11
4/22/20,6,47412,25085,21717,5279,4636,2906,238,21342,12
4/23/20,6,49724,25549,22157,5575,4636,3331,240,21858,12
4/24/20,6,51493,25969,22524,5760,4636,3704,240,22248,12
4/25/20,6,53755,26384,22902,5877,4636,4057,242,22617,14
4/26/20,6,54881,26644,23190,5976,4637,4286,243,22859,15
4/27/20,6,56259,26977,23521,6126,4637,4603,244,23296,15
4/28/20,6,58355,27359,23822,6314,4637,5083,246,23663,15
4/29/20,6,60967,27682,24275,6467,4637,5513,247,24090,15
4/30/20,6,62996,27967,24543,6623,4637,6006,248,24379,17
5/1/20,6,64943,28236,24543,6736,4637,6412,250,24597,17
5/2/20,6,66369,28710,25100,6812,4637,6761,250,24763,17
5/3/20,6,67682,28884,25264,6866,4637,7051,252,24900,17
5/4/20,6,68922,29079,25428,6993,4637,7367,254,25204,17
