,Antigua and Barbuda,Bahamas,Barbados,Costa Rica,Cuba,Dominican Republic,El Salvador,French Guiana,St Martin,Guatemala,Guyana,Haiti,Honduras,Jamaica,Aruba,Curacao,Sint Maarten,Nicaragua,Panama,Saint Lucia,Trinidad and Tobago,Cayman Islands
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/20,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/20,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/20,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/20,0,0,0,9,0,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/20,0,0,0,9,0,5,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0
3/11/20,0,0,0,13,0,5,0,5,2,0,0,0,2,1,0,0,0,0,8,0,0,0
3/12/20,0,0,0,22,3,5,0,5,2,0,1,0,2,2,0,0,0,0,11,0,0,0
3/13/20,1,0,0,23,4,5,0,5,2,0,1,0,2,8,2,0,0,0,27,0,0,1
3/14/20,1,0,0,26,4,11,0,5,2,1,1,0,2,8,2,1,0,0,36,1,2,1
3/15/20,1,0,0,27,4,11,0,7,2,1,4,0,3,10,2,1,0,0,43,2,2,1
3/16/20,1,1,0,35,4,11,0,11,2,2,4,0,6,10,2,1,0,0,55,2,4,1
3/17/20,1,1,2,41,5,21,0,11,2,6,7,0,8,12,3,3,0,0,69,2,5,1
3/18/20,1,1,2,50,7,21,0,11,3,6,7,0,9,13,4,3,0,0,86,2,7,1
3/19/20,1,3,5,69,11,34,1,11,4,9,7,0,12,15,4,3,0,1,109,2,9,3
3/20/20,1,3,5,89,16,72,1,15,4,12,7,2,24,16,5,3,1,1,137,2,9,3
3/21/20,1,4,6,117,21,112,3,18,4,17,7,2,24,16,5,3,1,2,200,2,49,3
3/22/20,1,4,14,134,35,202,3,18,5,19,19,2,26,19,9,3,1,2,313,2,50,3
3/23/20,3,4,17,158,40,245,3,20,8,20,20,6,30,19,9,4,2,2,345,3,51,5
3/24/20,3,5,18,177,48,312,5,23,8,21,5,7,30,21,12,6,2,2,345,3,57,6
3/25/20,3,5,18,201,57,392,9,28,11,24,5,8,36,26,17,6,3,2,443,3,60,8
3/26/20,7,9,18,231,67,488,13,28,11,25,5,8,52,26,28,6,3,2,558,3,65,8
3/27/20,7,10,24,263,80,581,13,28,11,28,5,8,68,26,33,8,3,2,674,3,66,8
3/28/20,7,10,26,295,119,719,19,28,11,34,8,8,95,30,46,8,3,4,786,3,74,8
3/29/20,7,11,33,314,139,859,24,28,11,34,8,15,110,32,50,8,6,4,901,9,78,8
3/30/20,7,14,33,330,170,901,30,43,15,36,8,15,139,36,50,11,6,4,989,9,82,12
3/31/20,7,14,34,347,186,1109,32,43,15,38,12,15,141,36,55,11,6,5,1181,13,87,14
4/1/20,7,21,34,375,212,1284,32,51,15,39,19,16,172,44,55,11,16,5,1181,13,90,22
4/2/20,9,24,46,396,233,1380,41,51,22,47,19,16,219,47,60,11,18,5,1317,13,94,28
4/3/20,15,24,51,416,269,1488,46,57,22,50,23,18,222,47,62,11,23,5,1475,13,98,28
4/4/20,15,28,52,435,288,1488,56,61,24,61,23,20,264,53,64,11,23,5,1673,14,103,35
4/5/20,15,28,56,454,320,1745,62,61,32,61,24,21,268,58,64,11,25,6,1801,14,104,35
4/6/20,15,29,60,467,350,1828,69,72,32,70,31,24,298,58,71,13,37,6,1988,14,105,39
4/7/20,19,33,63,483,396,1956,78,72,32,77,33,25,305,63,74,13,40,6,2100,14,107,45
4/8/20,19,40,63,502,457,2111,93,77,32,87,37,27,312,63,77,14,40,6,2249,14,107,45
4/9/20,19,41,66,539,515,2349,103,83,32,95,37,30,343,63,82,14,43,7,2528,14,109,45
4/10/20,19,42,67,558,564,2620,117,83,32,126,37,31,382,63,86,14,50,7,2752,15,109,45
4/11/20,21,46,68,577,620,2759,118,83,32,137,45,33,392,65,92,14,50,8,2974,15,112,45
4/12/20,21,46,71,595,669,2967,125,86,32,155,45,33,393,69,92,14,50,9,3234,15,113,53
