,Antigua and Barbuda,Aruba,Bahamas,Barbados,Bermuda,Cayman Islands,Costa Rica,Cuba,Curacao,Dominican Republic,El Salvador,French Guiana,Guatemala,Guyana,Haiti,Honduras,Jamaica,Nicaragua,Panama,Saint Lucia,Sint Maarten,St Martin,Trinidad and Tobago
2/29/20,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/20,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/20,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/20,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/20,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/20,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/20,0,0,0,0,,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/20,0,0,0,0,,0,1,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
3/8/20,0,0,0,0,,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
3/9/20,0,0,0,0,,0,9,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0
3/10/20,0,0,0,0,,0,9,0,0,5,0,5,0,0,0,0,0,0,1,0,0,2,0
3/11/20,0,0,0,0,,0,13,0,0,5,0,5,0,0,0,2,1,0,7,0,0,2,0
3/12/20,0,0,0,0,,0,22,3,0,5,0,5,0,0,0,2,2,0,10,0,0,2,0
3/13/20,1,2,0,0,,1,23,4,0,5,0,5,0,0,0,2,8,0,26,0,0,2,0
3/14/20,1,2,0,0,,1,26,4,1,11,0,5,1,0,0,2,8,0,35,1,0,2,2
3/15/20,1,2,0,0,,1,27,4,1,11,0,7,1,3,0,3,10,0,42,2,0,2,2
3/16/20,1,2,1,0,,0,35,4,1,11,0,11,1,3,0,6,8,0,54,2,0,2,4
3/17/20,1,3,1,2,,0,41,5,3,20,0,11,5,6,0,8,10,0,68,2,0,2,5
3/18/20,1,4,1,2,,0,50,6,3,20,0,11,5,6,0,9,11,0,85,2,0,3,7
3/19/20,1,4,3,5,,2,68,10,2,32,1,11,8,6,0,12,12,1,108,2,0,4,9
3/20/20,1,5,3,5,,2,88,15,2,70,1,15,11,6,2,24,13,1,136,2,1,4,9
3/21/20,1,5,4,6,,2,113,20,2,110,3,18,16,6,2,24,13,2,199,2,1,4,48
3/22/20,1,9,4,14,,2,130,34,2,199,3,12,18,18,2,26,16,2,310,2,1,5,49
3/23/20,3,9,4,17,,4,154,39,3,242,3,14,19,19,6,30,16,2,339,3,2,8,50
3/24/20,3,11,4,18,,5,173,46,5,303,5,17,20,4,7,30,18,2,338,3,2,8,57
3/25/20,3,16,4,18,,7,197,55,5,379,9,22,19,4,8,36,23,2,434,3,3,11,59
3/26/20,7,27,8,18,,7,227,64,3,475,13,22,20,4,8,51,23,2,548,3,3,11,64
3/27/20,7,32,9,24,,7,258,74,5,558,13,22,23,4,8,67,23,1,663,2,3,11,63
3/28/20,7,45,9,26,,7,290,112,5,688,19,22,23,7,8,91,27,3,770,2,3,11,70
3/29/20,7,49,10,33,,7,309,132,5,817,24,22,23,7,14,104,29,3,880,8,6,11,74
3/30/20,7,49,13,33,,11,324,162,8,855,30,37,25,7,14,129,33,3,961,8,6,12,78
3/31/20,7,54,13,34,,13,341,172,8,1053,31,37,25,10,14,131,33,4,1142,12,6,12,83
4/1/20,7,54,19,34,,21,369,194,7,1218,31,36,26,17,15,159,39,4,1142,12,9,12,84
4/2/20,9,59,22,46,,27,388,214,7,1304,39,36,34,15,15,202,42,4,1276,12,11,19,88
4/3/20,15,61,22,51,,27,403,248,7,1404,44,35,37,19,17,204,42,4,1428,12,15,19,91
4/4/20,15,63,24,52,,33,420,267,5,1404,51,39,44,19,19,246,43,4,1619,13,13,17,96
4/5/20,15,63,24,49,,33,436,297,5,1646,57,39,44,20,19,240,47,5,1742,13,20,23,96
4/6/20,15,69,20,52,,37,447,323,7,1709,60,38,52,19,23,270,47,5,1921,13,30,23,96
4/7/20,18,60,22,54,,38,457,358,5,1822,69,38,57,20,24,277,52,5,2031,13,33,23,98
4/8/20,17,63,28,52,,38,470,418,6,1953,79,43,67,23,26,284,49,5,2174,13,33,23,98
4/9/20,17,62,28,52,,38,506,472,6,2151,83,40,75,23,28,314,47,6,2449,13,36,23,100
4/10/20,17,59,29,52,,38,513,498,6,2396,96,40,106,23,29,352,46,6,2670,14,39,19,100
4/11/20,19,63,33,53,,38,525,527,6,2516,93,40,115,31,31,361,48,7,2883,14,36,19,92
4/12/20,19,60,33,56,,46,536,559,5,2663,98,35,131,31,30,361,52,4,3132,11,36,19,89
4/13/20,21,60,33,55,,46,547,584,5,2838,109,35,132,31,37,365,50,4,3284,11,36,19,89
4/14/20,18,60,35,55,,47,549,613,3,2941,118,35,143,33,37,374,50,4,3317,4,38,19,88
4/15/20,18,53,35,53,,47,555,639,3,3217,123,35,156,41,38,379,99,4,3407,4,39,20,87
4/16/20,17,54,39,55,,53,564,664,3,3344,125,35,172,41,38,382,117,4,3573,4,36,20,86
4/17/20,17,51,39,55,,53,557,700,3,3658,132,35,186,48,40,391,113,4,3809,4,36,20,86
4/18/20,17,50,36,53,,53,554,727,2,3806,140,32,207,48,41,401,133,1,3972,4,43,16,85
4/19/20,17,46,36,53,,53,543,746,2,4091,150,32,229,49,44,411,141,2,4013,4,45,16,85
4/20/20,17,46,40,51,,58,532,766,2,4313,165,27,261,49,54,406,191,2,4176,2,45,16,84
4/21/20,13,44,44,45,,58,513,790,2,4336,170,20,263,50,54,419,190,1,4318,2,45,16,79
4/22/20,11,30,44,45,,58,495,808,2,4459,167,13,284,51,56,434,200,1,4449,0,38,17,70
4/23/20,11,30,47,40,,58,484,827,2,4697,175,22,343,54,65,441,223,1,4749,0,39,17,59
4/24/20,10,29,47,40,,61,465,820,4,4719,191,23,389,54,65,478,253,1,4865,0,39,11,59
4/25/20,10,29,52,42,,61,445,849,4,4831,191,23,415,54,60,503,270,2,5041,0,39,11,54
4/26/20,10,25,47,34,,61,425,814,4,4947,207,23,436,54,61,503,315,3,5276,0,28,11,53
4/27/20,10,25,47,35,,61,404,808,4,5018,226,23,466,51,62,521,328,3,5399,0,28,11,49
4/28/20,10,25,46,35,,59,393,804,4,4965,240,31,466,51,62,559,328,3,5399,0,29,11,49
4/29/20,10,25,46,34,,62,384,792,2,5131,262,31,479,52,62,599,360,3,5673,2,29,11,37
4/30/20,10,19,45,35,,62,375,759,2,5370,266,31,517,51,65,621,385,4,5768,2,29,11,36
5/1/20,7,17,46,35,,63,364,759,2,5588,290,29,556,51,67,617,393,4,5906,2,19,8,25
5/2/20,7,17,48,30,,63,355,780,2,5771,294,29,599,51,67,818,422,4,6252,2,19,8,20
5/3/20,7,17,48,31,,63,347,755,2,6015,325,29,614,51,69,855,422,3,6252,3,19,8,15
5/4/20,7,17,47,29,,60,337,723,2,6118,362,32,632,56,79,973,424,3,6356,3,19,6,9
5/5/20,6,17,52,28,,47,336,662,2,6221,368,32,665,56,79,1055,408,4,6490,3,18,6,5
5/6/20,6,10,55,28,,47,327,633,2,6485,399,26,691,56,79,1230,412,4,6654,3,18,6,5
5/7/20,6,9,55,22,,44,314,625,1,6658,428,25,719,56,101,1426,421,4,6757,1,18,5,5
5/8/20,6,9,50,23,,39,306,589,1,6710,469,21,775,49,117,1472,419,4,6953,1,18,5,5
5/9/20,3,9,44,20,,39,294,540,1,6913,491,21,839,49,122,1527,419,4,3544,1,15,6,4
5/10/20,3,9,44,20,,39,284,496,1,7196,579,21,916,59,150,1661,403,4,3517,1,15,6,1
5/11/20,3,9,43,20,,36,277,477,1,7371,615,21,977,63,176,1778,406,4,3680,1,15,6,1
5/12/20,3,9,43,21,,34,277,449,1,7277,629,21,1052,67,176,1748,398,10,2510,1,15,6,1
5/13/20,3,7,42,13,,31,280,405,1,7566,643,28,1192,62,199,1895,387,10,2621,0,15,6,1
5/14/20,3,5,44,13,,38,287,368,1,7547,684,39,1360,61,235,1932,382,10,2778,0,15,6,1
5/15/20,3,5,44,13,,38,292,336,1,7758,768,64,1478,63,261,2062,381,10,2922,0,15,6,1
5/16/20,3,5,43,12,,38,292,323,1,7956,798,71,1592,64,309,2149,387,10,3100,0,8,6,1
5/17/20,3,5,43,13,,38,288,298,1,6039,844,71,1592,64,415,2185,384,10,3250,0,8,6,1
5/18/20,3,5,42,13,,38,281,297,1,5678,909,78,1739,70,491,2312,380,10,3366,0,8,6,1
5/19/20,3,5,42,15,,55,295,270,1,6169,966,81,1935,69,491,2459,366,38,3392,0,8,6,1
5/20/20,3,3,43,13,,55,305,248,1,5889,1003,100,2061,68,553,2459,349,38,3496,0,8,4,1
5/21/20,3,3,42,13,,65,301,225,1,5843,1063,111,2242,60,688,2651,344,63,3580,0,8,4,0
5/22/20,3,3,42,13,,67,301,204,1,5961,1122,119,2470,60,765,2871,344,63,3697,0,3,4,0
5/23/20,3,3,44,15,,67,301,179,2,6110,1216,135,2755,59,817,2871,341,63,3999,0,3,4,0
5/24/20,3,3,44,15,,67,300,170,2,6210,1247,182,3108,63,817,3302,332,63,4341,0,3,4,0
5/25/20,3,3,43,14,,72,313,161,3,6328,1176,206,3427,64,909,3534,309,63,4594,0,3,4,0
5/26/20,3,3,43,14,,73,312,172,3,6262,1219,237,3602,66,1119,3720,288,354,4755,0,3,4,0
5/27/20,3,1,43,9,,72,335,168,3,6459,1179,255,3584,61,1264,3940,281,354,4034,0,2,4,0
5/28/20,3,0,43,9,,72,344,167,3,6631,1153,274,3703,72,1264,4037,276,354,4432,0,2,4,0
5/29/20,3,0,43,9,,72,359,163,3,6777,1221,277,3869,72,1527,4037,277,354,4665,0,2,4,0
5/30/20,3,0,43,9,,72,379,147,4,6853,1318,291,3931,73,1800,4357,282,354,3274,0,2,5,1
5/31/20,4,0,43,9,,72,377,153,4,6224,1431,298,4244,71,2056,4453,266,354,3613,0,2,5,1
6/1/20,4,0,42,9,,74,398,174,4,6177,1473,298,4425,71,2157,4596,257,354,3979,0,2,5,1
6/2/20,3,0,42,9,,73,413,182,4,6162,1444,309,4639,71,2157,4739,225,702,4229,0,2,5,1
6/3/20,3,0,36,4,,77,462,194,5,6300,1468,278,4688,71,2435,4839,220,702,4733,0,2,5,1
6/4/20,3,0,36,4,,74,497,197,5,6325,1515,259,5017,64,2566,4989,213,702,5062,1,2,5,1
6/5/20,3,0,36,4,,70,523,202,5,6447,1547,267,5216,64,2666,5046,200,702,5374,1,1,5,1
