,Costa Rica,US,Italy,Spain,Germany,China,Brazil,"Korea, South",France,Uruguay
1/22/20,0,1,0,0,0,548,0,1,0,0
1/23/20,0,1,0,0,0,643,0,1,0,0
1/24/20,0,2,0,0,0,920,0,2,2,0
1/25/20,0,2,0,0,0,1406,0,2,3,0
1/26/20,0,5,0,0,0,2075,0,3,3,0
1/27/20,0,5,0,0,1,2877,0,4,3,0
1/28/20,0,5,0,0,4,5509,0,4,4,0
1/29/20,0,6,0,0,4,6087,0,4,5,0
1/30/20,0,6,0,0,4,8141,0,4,5,0
1/31/20,0,8,2,0,5,9802,0,11,5,0
2/1/20,0,8,2,1,8,11891,0,12,6,0
2/2/20,0,8,2,1,10,16630,0,15,6,0
2/3/20,0,11,2,1,12,19716,0,15,6,0
2/4/20,0,11,2,1,12,23707,0,16,6,0
2/5/20,0,11,2,1,12,27440,0,19,6,0
2/6/20,0,12,2,1,12,30587,0,23,6,0
2/7/20,0,12,3,1,13,34110,0,24,6,0
2/8/20,0,12,3,1,13,36814,0,24,11,0
2/9/20,0,12,3,2,14,39829,0,25,11,0
2/10/20,0,12,3,2,14,42354,0,27,11,0
2/11/20,0,13,3,2,16,44386,0,28,11,0
2/12/20,0,13,3,2,16,44759,0,28,11,0
2/13/20,0,14,3,2,16,59895,0,28,11,0
2/14/20,0,14,3,2,16,66358,0,28,11,0
2/15/20,0,14,3,2,16,68413,0,28,12,0
2/16/20,0,14,3,2,16,70513,0,29,12,0
2/17/20,0,14,3,2,16,72434,0,30,12,0
2/18/20,0,14,3,2,16,74211,0,31,12,0
2/19/20,0,14,3,2,16,74619,0,31,12,0
2/20/20,0,14,3,2,16,75077,0,104,12,0
2/21/20,0,16,20,2,16,75550,0,204,12,0
2/22/20,0,16,62,2,16,77001,0,433,12,0
2/23/20,0,16,155,2,16,77022,0,602,12,0
2/24/20,0,16,229,2,16,77241,0,833,12,0
2/25/20,0,16,322,6,17,77754,0,977,14,0
2/26/20,0,16,453,13,27,78166,1,1261,18,0
2/27/20,0,17,655,15,46,78600,1,1766,38,0
2/28/20,0,17,888,32,48,78928,1,2337,57,0
2/29/20,0,25,1128,45,79,79356,2,3150,100,0
3/1/20,0,32,1694,84,130,79932,2,3736,130,0
3/2/20,0,54,2036,120,159,80136,2,4335,191,0
3/3/20,0,74,2502,165,196,80261,2,5186,204,0
3/4/20,0,107,3089,222,262,80386,4,5621,288,0
3/5/20,0,184,3858,259,482,80537,4,6088,380,0
3/6/20,1,237,4636,400,670,80690,13,6593,656,0
3/7/20,1,403,5883,500,799,80770,13,7041,959,0
3/8/20,5,519,7375,673,1040,80823,20,7314,1136,0
3/9/20,9,589,9172,1073,1176,80860,25,7478,1219,0
3/10/20,9,782,10149,1695,1457,80887,31,7513,1794,0
3/11/20,13,1145,12462,2277,1908,80921,38,7755,2293,0
3/12/20,22,1584,15113,2277,2078,80932,52,7869,2293,0
3/13/20,23,2214,17660,5232,3675,80945,151,7979,3681,4
3/14/20,26,2971,21157,6391,4585,80977,151,8086,4496,6
3/15/20,27,3211,24747,7798,5795,81003,162,8162,4532,8
3/16/20,35,4679,27980,9942,7272,81033,200,8236,6683,29
3/17/20,41,6513,31506,11748,9257,81058,321,8320,7715,50
3/18/20,50,9153,35713,13910,12327,81102,372,8413,9124,79
3/19/20,69,13643,41035,17963,15320,81156,621,8565,10970,94
3/20/20,89,20007,47021,20410,19848,81250,793,8652,12758,110
3/21/20,117,25991,53578,25374,22213,81305,1021,8799,14463,135
3/22/20,134,34804,59138,28768,24873,81435,1546,8961,16243,158
3/23/20,158,45973,63927,35136,29056,81498,1924,8961,20123,162
3/24/20,177,56571,69176,39885,32986,81591,2247,9037,22622,189
3/25/20,201,68583,74386,49515,37323,81661,2554,9137,25600,217
3/26/20,231,86495,80589,57786,43938,81782,2985,9241,29551,238
3/27/20,263,105103,86498,65719,50871,81897,3417,9332,33402,274
3/28/20,295,124701,92472,73235,57695,81999,3904,9478,38105,303
3/29/20,314,143672,97689,80110,62095,82122,4256,9583,40708,309
3/30/20,330,165615,101739,87956,66885,82198,4579,9661,45170,320
3/31/20,347,192048,105792,95923,71808,82279,5717,9786,52827,338
4/1/20,375,217730,110574,104118,77872,82361,6836,9887,57749,350
4/2/20,396,248186,115242,112065,84794,82432,8044,9976,59929,369
4/3/20,416,280173,119827,119199,91159,82511,9056,10062,65202,386
4/4/20,435,313154,124632,126168,96092,82543,10360,10156,69500,400
4/5/20,454,341245,128948,131646,100123,82602,11130,10237,71412,406
4/6/20,467,371481,132547,136675,103374,82665,12161,10284,75343,415
4/7/20,483,402917,135586,141942,107663,82718,14034,10331,79163,424
4/8/20,502,434886,139422,148220,113296,82809,16170,10384,83057,456
4/9/20,539,469478,143626,153222,118181,82883,18092,10423,87366,473
4/10/20,558,503006,147577,158273,122171,82941,19638,10450,91738,494
4/11/20,577,532447,152271,163027,124908,83014,20727,10480,94863,501
4/12/20,595,559318,156363,166831,127854,83134,22192,10512,121712,480
4/13/20,612,585240,159516,170099,130072,83213,23430,10537,125394,483
4/14/20,618,613887,162488,172541,131359,83306,25262,10564,130365,492
4/15/20,626,643833,165155,177644,134753,83356,28320,10591,133585,493
4/16/20,642,675261,168941,184948,137698,83403,30425,10613,146075,502
4/17/20,649,708179,172434,190839,141397,83760,33682,10635,148084,508
4/18/20,655,735960,175925,191726,143342,83787,36658,10653,148086,517
4/19/20,660,761620,178972,198674,145184,83805,38654,10661,153011,528
4/20/20,662,790121,181228,200210,147065,83817,40743,10674,155393,535
4/21/20,669,816100,183957,204178,148291,83853,43079,10683,158168,543
4/22/20,681,845361,187327,208389,150648,83868,45757,10694,155980,549
4/23/20,686,878645,189973,213024,153129,83884,50036,10708,158303,557
4/24/20,687,912247,192994,202990,154999,83899,54043,10718,159952,563
4/25/20,693,944231,195351,205905,156513,83909,59324,10728,161644,596
4/26/20,695,971149,197675,207634,157770,83912,63100,10738,162220,606
4/27/20,697,994204,199414,209465,158758,83918,67446,10752,165963,620
4/28/20,705,1018950,201505,210773,159912,83940,73235,10761,169053,625
4/29/20,713,1046653,203591,212917,161539,83944,79685,10765,166543,630
4/30/20,719,1076323,205463,213435,163009,83956,87187,10774,167299,643
