,Costa Rica,Panama,Guatemala,Nicaragua,El Salvador,Honduras,Dominican Republic,Jamaica,Trinidad and Tobago,Cuba
2/29/20,0,0,0,0,0,0,0,0,0,0
3/1/20,0,0,0,0,0,0,0,0,0,0
3/2/20,0,0,0,0,0,0,0,0,0,0
3/3/20,0,0,0,0,0,0,0,0,0,0
3/4/20,0,0,0,0,0,0,0,0,0,0
3/5/20,0,0,0,0,0,0,0,0,0,0
3/6/20,0,0,0,0,0,0,0,0,0,0
3/7/20,0,0,0,0,0,0,0,0,0,0
3/8/20,0,0,0,0,0,0,0,0,0,0
3/9/20,0,0,0,0,0,0,0,0,0,0
3/10/20,0,0,0,0,0,0,0,0,0,0
3/11/20,0,1,0,0,0,0,0,0,0,0
3/12/20,0,1,0,0,0,0,0,0,0,0
3/13/20,0,1,0,0,0,0,0,0,0,0
3/14/20,0,1,0,0,0,0,0,0,0,0
3/15/20,0,1,0,0,0,0,0,0,0,0
3/16/20,0,1,1,0,0,0,0,0,0,0
3/17/20,0,1,1,0,0,0,1,0,0,0
3/18/20,0,1,1,0,0,0,1,0,0,1
3/19/20,1,1,1,0,0,0,2,1,0,1
3/20/20,1,1,1,0,0,0,2,1,0,1
3/21/20,2,1,1,0,0,0,2,1,0,1
3/22/20,2,3,1,0,0,0,3,1,0,1
3/23/20,2,6,1,0,0,0,3,1,0,1
3/24/20,2,6,1,0,0,0,6,1,0,1
3/25/20,2,8,1,0,0,0,10,1,1,1
3/26/20,2,8,1,0,0,1,10,1,1,2
3/27/20,2,9,1,1,0,1,20,1,2,2
3/28/20,2,14,1,1,0,1,28,1,3,3
3/29/20,2,17,1,1,0,3,39,1,3,3
3/30/20,2,24,1,1,0,7,42,1,3,4
3/31/20,2,30,1,1,1,7,51,1,3,6
4/1/20,2,30,1,1,1,10,57,3,5,6
4/2/20,2,32,1,1,2,14,60,3,5,6
4/3/20,2,37,1,1,2,15,68,3,6,6
4/4/20,2,41,2,1,3,15,68,3,6,6
4/5/20,2,46,2,1,3,22,82,3,7,8
4/6/20,2,54,3,1,4,22,86,3,8,9
4/7/20,2,55,3,1,4,22,98,3,8,11
4/8/20,3,59,3,1,5,22,108,4,8,12
4/9/20,3,63,3,1,6,23,118,4,8,15
4/10/20,3,66,3,1,6,23,126,4,8,15
4/11/20,3,74,3,1,6,24,135,4,8,16
4/12/20,3,79,5,1,6,25,173,4,8,18
4/13/20,3,87,5,1,6,25,177,4,8,21
4/14/20,3,94,5,1,6,26,183,4,8,21
4/15/20,4,95,5,1,6,31,189,5,8,24
4/16/20,4,103,5,1,6,35,196,5,8,27
4/17/20,4,109,7,1,7,41,200,5,8,31
4/18/20,4,116,7,2,7,46,217,5,8,32
4/19/20,5,120,7,2,7,46,226,5,8,34
4/20/20,6,126,7,2,7,46,235,5,8,36
4/21/20,6,136,7,2,7,46,245,6,8,38
4/22/20,6,141,8,2,7,46,260,6,8,40
4/23/20,6,146,11,3,8,47,265,6,8,43
4/24/20,6,154,11,3,8,55,267,7,8,49
4/25/20,6,159,13,3,8,59,273,7,8,51
4/26/20,6,165,15,3,8,59,278,7,8,54
4/27/20,6,167,15,3,8,61,282,7,8,56
4/28/20,6,167,15,3,8,64,286,7,8,58
4/29/20,6,178,16,3,9,66,293,7,8,58
4/30/20,6,188,16,3,10,71,301,8,8,61
5/1/20,6,192,16,3,10,75,313,8,8,64
5/2/20,6,197,17,3,11,76,326,8,8,66
5/3/20,6,197,17,5,11,82,333,9,8,67
5/4/20,6,200,19,5,13,83,346,9,8,69
5/5/20,6,210,19,5,14,93,354,9,8,69
5/6/20,6,218,21,5,15,99,362,9,8,69
5/7/20,6,225,23,5,15,105,373,9,8,73
5/8/20,6,231,24,5,16,107,380,9,8,74
5/9/20,6,237,24,5,17,108,385,9,8,74
5/10/20,7,244,26,5,17,108,388,9,8,77
5/11/20,7,249,26,5,18,116,393,9,8,77
5/12/20,7,252,27,8,20,121,402,9,8,78
5/13/20,8,256,29,8,20,123,409,9,8,79
5/14/20,8,260,29,8,23,133,422,9,8,79
5/15/20,9,266,30,8,25,134,424,9,8,79
5/16/20,10,269,33,8,26,138,428,9,8,79
5/17/20,10,275,33,8,30,142,428,9,8,79
5/18/20,10,279,35,8,30,146,434,9,8,79
5/19/20,10,281,43,17,30,147,441,9,8,79
5/20/20,10,287,45,17,31,147,446,9,8,79
5/21/20,10,291,48,17,33,156,448,9,8,80
5/22/20,10,295,51,17,33,167,456,9,8,81
5/23/20,10,299,55,17,33,167,458,9,8,81
5/24/20,10,306,58,17,35,180,458,9,8,82
5/25/20,10,310,59,17,35,182,460,9,8,82
5/26/20,10,313,63,35,36,188,468,9,8,82
